,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stakeholder engagement scales,,,,,,,,,,,,,,,,,,,,,,,,
,,Solution proposed or implemented,,Solution type,,,,,,,,Researcher field,,,,,,,,,,,Stakeholder types,,,,,,,,,,Ghodsvali scale,,,,IAP2 scale,,,,,,,Our scale,,,,,,,,Geographic scale of issue addressed in study,,,,,
Year,Citation,Solution proposed?,Solution Implemented?,Technological,Policy,Institutional,Social,Economic,Ecological,Educational,Used a comuter or statistical model,NGO,Eng,Math,Comp Sci,Phys Sci,"Interdisciplinary (Env Sci, Sustainability, . . .)",Soc Sci,Economics,Agriculture,Other,Stakeholder Engagement? Y or N,Farmers,Combined government,Tribal/indigenous,"Combined coalitions, NGOs, citizen groups",Combined industry and local bus,Migrants,Youth,General public,University or academics,Experts/consultants,Nominal,Instrumental,Representative,Transformative,NA,Inform,Consult,Involve,Collaborate,Empower,Researcher focus,Data gathering on topic of interest to SH,Inform or educate,Different perspectives,Plan for future,Identify solutions,Envision putting solutions into practice,Implement solutions,Not described,Local,Regional,National,Multi-national,Global,NA
2021,"Abdali H.Sahebi, H.& Pishvaee M. (2021). The water-energy-food-land nexus at the sugarcane-to-bioenergy supply chain: A sustainable network design model. Computers & Chemical Engineering 145 107199.",N,N,0,0,0,0,0,0,0,y,0,1,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020,Abdel-Aal M. Haltas I. & Varga L. (2020). Modelling the diffusion and operation of anaerobic digestions in Great Britain under future scenarios within the scope of water-energy-food nexus. Journal of cleaner production 253 119897.,N,N,0,0,0,0,0,0,0,N,0,1,0,1,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023,Abdelzaher M. A. Farahat E. M. Abdel-Ghafar H. M. Balboul B. A. & Awad M. M. (2023). Environmental Policy to Develop a Conceptual Design for the Water–Energy–Food Nexus: A Case Study in Wadi-Dara on the Red Sea Coast Egypt. Water 15(4) 780.,N,N,0,0,0,0,0,0,0,N,0,1,0,0,1,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020,Abulibdeh A. & Zaidan E. (2020). Managing the water-energy-food nexus on an integrated geographical scale. Environmental Development 33 100498.,N,N,0,0,0,0,0,0,0,Y,0,0,0,0,0,0,1,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020,Achour Y. Ouammi A. Zejli D. & Sayadi S. (2020). Supervisory model predictive control for optimal operation of a greenhouse indoor environment coping with food-energy-water nexus. IEEE Access 8 211562-211575.,N,N,0,0,0,0,0,0,0,Y,0,1,0,0,0,1,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2021,Adebiyi J. A. Olabisi L. S. Liu L. & Jordan D. (2021). Water–food–energy–climate nexus and technology productivity: A Nigerian case study of organic leafy vegetable production. Environment Development and Sustainability 23 6128-6147.,N,N,0,0,0,0,0,0,0,N,0,0,0,1,0,1,0,0,0,0,Y,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2022,Afkhami P. & Zarrinpoor N. (2022). The energy-water-food-waste-land nexus in a GIS-based biofuel supply chain design: A case study in Fars province Iran. Journal of Cleaner Production 340 130690.,N,N,0,0,0,0,0,0,0,Y,0,1,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2021,Afshar A. Soleimanian E. Akbari Variani H. Vahabzadeh M. & Molajou A. (2021). The conceptual framework to determine interrelations and interactions for holistic Water Energy and Food Nexus. Environment Development and Sustainability 1-22.,N,N,0,0,0,0,0,0,0,Y,0,1,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
